GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE71164,HUVEC,shRNA,EZH2,?,GSM1828763;GSM1828764;GSM1828765,GSM1828760;GSM1828761;GSM1828762
GSE71164,HUVEC + Fluid Shear Stress,shRNA,EZH2,?,GSM1828769;GSM1828770;GSM1828771,GSM1828766;GSM1828767;GSM1828768
GSE74324,IMR-90 (Proliferating),shRNA,P16/P21,?,GSM1917119;GSM1917120;GSM1917121,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Proliferating),shRNA,BRD4,?,GSM1917110;GSM1917111;GSM1917112,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,BRD4,?,GSM1917113;GSM1917114;GSM1917115,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,BRD4,?,GSM1917116;GSM1917117;GSM1917118,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Quiescent),shRNA,P16/P21,?,GSM1917122;GSM1917123;GSM1917124,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P16/P21,?,GSM1917125;GSM1917126;GSM1917127,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Proliferating),shRNA,P53,?,GSM1917092;GSM1917093;GSM1917094,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,P53,?,GSM1917095;GSM1917096;GSM1917097,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P53,?,GSM1917098;GSM1917099;GSM1917100,GSM1917089;GSM1917090;GSM1917091
